0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:00:39 -0400] "GET /Homework2/index.html HTTP/1.1" 200 1921
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:00:39 -0400] "GET /Homework2/jkim342.css HTTP/1.1" 200 142
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:01:17 -0400] "GET /Homework2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:01:17 -0400] "GET /Homework2/jkim342.css HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:01:17 -0400] "GET /Homework2/jhu_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:01:50 -0400] "GET /Homework2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:01:50 -0400] "GET /Homework2/jkim342.css HTTP/1.1" 200 192
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:02:22 -0400] "GET /Homework2/index.html HTTP/1.1" 200 1906
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:02:22 -0400] "GET /Homework2/jkim342.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:03:02 -0400] "GET /Homework2/index.html HTTP/1.1" 200 1906
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:03:02 -0400] "GET /Homework2/jkim342.css HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:03:16 -0400] "GET /Homework2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:03:16 -0400] "GET /Homework2/jkim342.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:04:17 -0400] "GET /Homework2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:04:17 -0400] "GET /Homework2/jkim342.css HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:04:17 -0400] "GET /Homework2/jhu_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:04:25 -0400] "GET /Homework2/jkim342.css HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:06:50 -0400] "GET /Homework2/index.html HTTP/1.1" 200 1887
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:06:50 -0400] "GET /Homework2/jkim342.css HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:08:20 -0400] "GET /Homework2/index.html HTTP/1.1" 200 1887
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:08:20 -0400] "GET /Homework2/jkim342.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:08:20 -0400] "GET /Homework2/jhu_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:09:02 -0400] "GET /Homework2/index.html HTTP/1.1" 200 1886
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:09:03 -0400] "GET /Homework2/jkim342.css HTTP/1.1" 200 222
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:09:18 -0400] "GET /Homework2/index.html HTTP/1.1" 200 1886
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:09:18 -0400] "GET /Homework2/jkim342.css HTTP/1.1" 200 222
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:09:19 -0400] "GET /Homework2/jkim342.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:09:20 -0400] "GET /Homework2/jkim342.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:09:21 -0400] "GET /Homework2/jkim342.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:09:52 -0400] "GET /Homework2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:09:52 -0400] "GET /Homework2/jkim342.css HTTP/1.1" 200 223
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:11:39 -0400] "GET /Homework2/jkim342.css HTTP/1.1" 200 223
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:11:42 -0400] "GET /Homework2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:11:42 -0400] "GET /Homework2/jkim342.css HTTP/1.1" 200 223
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:11:42 -0400] "GET /Homework2/jhu_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:12:11 -0400] "GET /Homework2/index.html HTTP/1.1" 200 1886
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:12:11 -0400] "GET /Homework2/jkim342.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:14:00 -0400] "GET /Homework2/index.html HTTP/1.1" 200 1906
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:14:00 -0400] "GET /Homework2/jkim342.css HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:14:46 -0400] "GET /Homework2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:14:46 -0400] "GET /Homework2/jkim342.css HTTP/1.1" 200 301
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:15:26 -0400] "GET /Homework2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:15:26 -0400] "GET /Homework2/jkim342.css HTTP/1.1" 200 321
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:15:26 -0400] "GET /Homework2/jhu_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:16:15 -0400] "GET /Homework2/index.html HTTP/1.1" 200 1906
